room_id,host_id,room_type,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,last_modified
539036,82145,Entire home/apt,Centrum Oost,44,4.5,4,2,310,12/28/16
10874596,8558897,Entire home/apt,De Pijp / Rivierenbuurt,1,0,4,2,323,12/28/16
13306240,48703385,Entire home/apt,Centrum Oost,1,0,2,1,323,12/28/16
12487325,67602451,Entire home/apt,De Pijp / Rivierenbuurt,0,0,6,3,431,12/28/16
10201214,8497487,Entire home/apt,Ijburg / Eiland Zeeburg,9,4.5,8,4,377,12/28/16
3121495,6999042,Entire home/apt,De Pijp / Rivierenbuurt,0,0,2,1,323,12/28/16
8878344,46460001,Entire home/apt,Centrum Oost,22,4.5,4,2,317,12/28/16
15389837,73336168,Entire home/apt,Watergraafsmeer,0,0,6,3,484,12/28/16
9721317,50178191,Entire home/apt,Centrum Oost,0,0,4,2,377,12/28/16
10320950,3518386,Entire home/apt,Oud Oost,1,0,6,3,431,12/28/16
4298935,22318044,Entire home/apt,Oostelijk Havengebied / Indische Buurt,7,5,4,2,377,12/28/16
4919004,25304400,Entire home/apt,De Pijp / Rivierenbuurt,21,5,4,2,377,12/28/16
13079987,35620251,Entire home/apt,Ijburg / Eiland Zeeburg,0,0,6,4,317,12/28/16
10246127,8558897,Entire home/apt,Oud Oost,5,3.5,4,3,323,12/28/16
15970340,96074261,Entire home/apt,Bijlmer Oost,0,0,7,2,431,12/28/16
1905423,2531171,Entire home/apt,De Pijp / Rivierenbuurt,36,5,6,3,349,12/28/16
15071417,95325546,Entire home/apt,Oud Oost,7,5,4,3,345,12/28/16
10328570,25008098,Entire home/apt,Centrum Oost,2,0,7,5,400,12/28/16
15580322,31209126,Entire home/apt,Centrum Oost,0,0,6,2,430,12/28/16
13760261,6478962,Entire home/apt,Centrum Oost,4,4.5,4,2,377,12/28/16
12596322,68338234,Entire home/apt,Centrum Oost,25,4,17,5,322,12/28/16
881936,4665886,Entire home/apt,Centrum West,0,0,2,1,323,12/28/16
5133110,25832900,Entire home/apt,Centrum West,1,0,4,2,355,12/28/16
12598924,68338234,Entire home/apt,Centrum West,15,4,8,2,322,12/28/16
12279864,4142666,Entire home/apt,Centrum West,1,0,2,1,312,12/28/16
11097614,57378136,Entire home/apt,Centrum West,14,5,4,2,323,12/28/16
13711237,7140879,Entire home/apt,De Baarsjes / Oud West,4,5,8,3,377,12/28/16
15810783,84978218,Entire home/apt,Centrum West,0,0,12,0,323,12/28/16
15826367,36771337,Entire home/apt,De Baarsjes / Oud West,1,0,7,3,323,12/28/16
505012,1645998,Entire home/apt,Centrum Oost,40,5,5,3,345,12/28/16
4812346,24785635,Entire home/apt,Centrum West,11,4.5,4,0,323,12/28/16
996112,5472530,Entire home/apt,Centrum Oost,15,4.5,4,2,323,12/28/16
14021349,4251914,Entire home/apt,Oud Noord,3,5,6,3,322,12/28/16
